11,/ibs-portable-mini-household-handheld-10-built-in-stitch-pattens-electric-sewing-machine/p/itmehfs9mzwhnf9h?pid=SMCEHFS9RERF3GFQ&lid=LSTSMCEHFS9RERF3GFQRAWXYY&marketplace=FLIPKART&srno=b_2_51&otracker=browse&fm=organic&iid=8e28e6c3-dc49-461f-9aa9-7d87986cf857.SMCEHFS9RERF3GFQ.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/u/c/f/ibs-portable-mini-household-handheld-10-built-in-stitch-pattens-original-imaehfhyequ4d5rh.jpeg?q=70,IBS Portable mini household Handheld 10 built-in Stitch Pattens Electric Sewing Machine,₹3，499,(13),<div class="hGSR34 _2beYZw">3.2 ★</div>
12,/rabsa-adapter-foot-pedal-mini-rsa-electric-sewing-machine/p/itmf5ay9zbtyfyhh?pid=SMCF59M9GCJJUC3T&lid=LSTSMCF59M9GCJJUC3TI6SGUL&marketplace=FLIPKART&srno=b_2_52&otracker=browse&fm=organic&iid=b1657efc-612c-497b-9c43-21ab9a9ce1a4.SMCF59M9GCJJUC3T.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jh80ia80/sewing-machine/f/e/z/tirsawing-9595-rsa-rabsa-original-imaf3df8nu5xdjhs.jpeg?q=70,Rabsa Adapter & Foot Pedal Mini-RSA Electric Sewing Machine,₹995,0,0
13,/creative-via-mhdr-505-12-built-in-stitch-pattens-portable-compact-accessories-electric-sewing-machine/p/itmek5gwrp8f67qm?pid=SMCEK5GWHNFPJQZU&lid=LSTSMCEK5GWHNFPJQZUUPMQEV&marketplace=FLIPKART&srno=b_2_53&otracker=browse&fm=organic&iid=0186b3d1-a235-44f4-b7ea-c1789adcdd07.SMCEK5GWHNFPJQZU.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j9a8fww0/sewing-machine/q/z/u/ha-sm02-10-built-in-stitch-pattens-portable-compact-with-original-imaeyvggdgf5jgws.jpeg?q=70,Creative Via MHDR-505 12 built-in Stitch Pattens Portable & Compact With Accessories Electric Sewing Machine Electric Sewing Machine,₹3，894,(49),<div class="hGSR34 _2beYZw">3.8 ★</div>
14,/gs-4-1-mini-adapter-foot-pedal-electric-sewing-machine/p/itmehkvg5mg5hf5g?pid=SMCEHKVGJZAWXFTM&lid=LSTSMCEHKVGJZAWXFTMQNE4NC&marketplace=FLIPKART&srno=b_2_54&otracker=browse&fm=organic&iid=8ef3a1c0-e8b3-4d95-ae8b-7520d8dfd454.SMCEHKVGJZAWXFTM.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j29bi4w0-1/sewing-machine/n/8/f/4-in-1-mini-new-original-imaehcm7zutk4gyv.jpeg?q=70,GS 4 in 1 Mini Adapter Foot Pedal Electric Sewing Machine,₹899,(32),<div class="hGSR34 _2beYZw">3.1 ★</div>
15,/kitchen-india-mini-4-1-sewing-yd04-electric-machine/p/itmf48zqkzjjfqgw?pid=SMCF48MZYH6TGGYF&lid=LSTSMCF48MZYH6TGGYFHFY2EG&marketplace=FLIPKART&srno=b_2_55&otracker=browse&fm=organic&iid=456d0c01-3fbc-4c9c-9a80-91ad09cb5d0f.SMCF48MZYH6TGGYF.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jfvfjbk0/sewing-machine/g/y/f/mini-4-in-1-sewing-yd04-kitchen-india-original-imaf47w6fztyuvtj.jpeg?q=70,Kitchen India ™ Mini 4 In 1 Sewing YD04 Electric Sewing Machine,₹925,0,0
16,/maxel-sewing-machine-portable-electric-crafting-mending-machine-2-speed-double-thread-speed-light-cutter-foot-pedal-household-travel-beginner-built-in-stitches-1/p/itmf45c4jh9mhwks?pid=SMCF45C4U8FYGYXZ&lid=LSTSMCF45C4U8FYGYXZVC5DBR&marketplace=FLIPKART&srno=b_2_56&otracker=browse&fm=organic&iid=3b3f0931-4fd2-4b30-b2ec-7b2b187db613.SMCF45C4U8FYGYXZ.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jfr57rk0/sewing-machine/y/x/z/sewing-machine-portable-electric-crafting-mending-machine-2-original-imaf458cnfz9y4pd.jpeg?q=70,Maxel Sewing Machine， Portable Electric Crafting Mending Machine 2-Speed Double Thread， Double Speed with Light & Cutter， Foot Pedal for Household Travel Beginner Electric Sewing Machine ( Built-in Stitches 1) Electric Sewing Machine ( Built-in Stitches 1) Electric Sewing Machine,₹999,(3),<div class="hGSR34 _2beYZw">3.7 ★</div>
17,/vox-18-multicolored-thread-set-mini-electric-sewing-machine/p/itmee4can4cxnjrw?pid=SMCEE4CARSTSPUGH&lid=LSTSMCEE4CARSTSPUGHDGTIPV&marketplace=FLIPKART&srno=b_2_57&otracker=browse&fm=organic&iid=82b5370c-f100-4079-acd8-f505901bcb1a.SMCEE4CARSTSPUGH.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/g/e/n/home-pro-hp-01-mini-original-imaeef8wwsbhskrq.jpeg?q=70,Vox 18 Multicolored Thread Set Mini Electric Sewing Machine,₹910,(178),<div class="hGSR34 _1x2VEC">2.8 ★</div>
18,/benison-india-4-in1-smart-portable-mini-silai-electric-sewing-machine/p/itmen8dzyubdf3wj?pid=SMCEN8DZU9TMBXWG&lid=LSTSMCEN8DZU9TMBXWGFOLOZK&marketplace=FLIPKART&srno=b_2_58&otracker=browse&fm=organic&iid=67c82bc2-e5df-4449-99f5-92eb4553efaa.SMCEN8DZU9TMBXWG.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j9pyaa80/sewing-machine/7/4/b/g001-portable-compact-4-in-1-mini-adapter-foot-pedal-gking-original-imaemxffj64gqcxg.jpeg?q=70,Benison India ™ 4 In1 Smart Portable mini Silai Electric Sewing Machine,₹1，448,(39),<div class="hGSR34 _2beYZw">3 ★</div>
19,/olympic-1-12-full-copper-cream-motor-electric-sewing-machine/p/itmf6nxur2k9gkdw?pid=SMCF6NAYHNHG27BF&lid=LSTSMCF6NAYHNHG27BFJ7VPOB&marketplace=FLIPKART&srno=b_2_59&otracker=browse&fm=organic&iid=bc24e4e4-3b9f-4023-bb24-a54e38f6f2ae.SMCF6NAYHNHG27BF.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jlsc58w0/sewing-machine/7/b/f/1-12-full-copper-cream-motor-olympic-original-imaf8ufkzcvuy2hg.jpeg?q=70,Olympic 1/12 Full copper cream motor Electric Sewing Machine,₹1，150,(27),<div class="hGSR34 _2beYZw">3.9 ★</div>
20,/dealcrox-mini-4-1-electric-sewing-machine/p/itmegyz56fqcqbgu?pid=SMCEGYZ5JG5GETX4&lid=LSTSMCEGYZ5JG5GETX4P0YAJD&marketplace=FLIPKART&srno=b_2_60&otracker=browse&fm=organic&iid=1e28e18a-c635-445b-bd45-3febb50135c1.SMCEGYZ5JG5GETX4.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/t/x/4/dealcrox-mini-4-in-1-electric-sewing-machine-original-imaebmmm3muqznkn.jpeg?q=70,Dealcrox Mini 4 in 1 Electric Sewing Machine Electric Sewing Machine,₹999,(61),<div class="hGSR34 _2beYZw">3 ★</div>
